Date,Temp
1972-04,12.9
1989-03,12.9
1950-04,12.9
2009-03,12.9
1993-10,13.0
1991-04,13.1
1953-04,13.1
1952-10,13.2
1954-04,13.2
1994-04,13.3
2012-04,13.3
1975-04,13.3
1965-04,13.4
2015-11,13.4
1955-10,13.5
2013-04,13.5
1988-04,13.5
2016-04,13.5
1994-11,13.6
1969-04,13.6
2011-11,13.6
1963-04,13.6
2003-03,13.6
1990-03,13.6
1976-04,13.7
1968-04,13.7
1964-10,13.7
2008-04,13.7
2015-12,13.7
1997-03,13.8
1956-10,13.8
1957-03,13.9
1973-10,13.9
1961-03,13.9
1985-04,14.0
1992-04,14.0
1980-10,14.0
1974-04,14.0
1950-10,14.0
1980-04,14.0
2014-03,14.1
1982-10,14.1
2006-04,14.1
2012-10,14.2
1960-10,14.2
1948-03,14.2
1957-04,14.2
1959-04,14.2
1982-04,14.3
1996-04,14.3
1960-04,14.3
1975-10,14.4
2003-10,14.5
1951-10,14.6
1991-10,14.6
2005-04,14.6
1990-04,14.6
1984-04,14.6
1993-04,14.6
1953-10,14.7
2000-10,14.7
2012-03,14.7
1998-10,14.7
1966-10,14.7
1963-10,14.8
2004-04,14.9
1999-04,14.9
1976-10,14.9
1984-05,14.9
1948-10,14.9
1958-10,14.9
1987-10,15.0
1967-10,15.0
1961-04,15.0
2008-10,15.0
1951-05,15.0
1962-05,15.0
1995-04,15.0
1983-10,15.1
1975-05,15.1
1996-05,15.1
2010-10,15.2
1955-04,15.2
2004-10,15.3
2002-10,15.3
2007-10,15.4
1948-04,15.4
1994-10,15.4
1968-05,15.4
1957-10,15.5
1988-10,15.5
1955-05,15.5
1999-10,15.6
1952-04,15.6
1997-04,15.6
1967-05,15.6
1961-10,15.6
1983-05,15.6
1972-10,15.6
1970-10,15.7
1991-05,15.7
1962-10,15.7
2003-04,15.7
2002-04,15.7
2015-10,15.8
2010-04,15.8
1987-04,15.8
1984-10,15.8
2016-10,15.9
1997-10,15.9
1979-05,15.9
1994-05,16.0
1972-05,16.0
1963-05,16.0
1985-10,16.1
2009-04,16.1
1981-05,16.1
2014-04,16.1
1954-10,16.2
1949-04,16.2
1957-05,16.2
1965-10,16.2
1987-05,16.3
2009-10,16.3
1977-10,16.3
2015-04,16.3
1986-05,16.3
2013-05,16.4
1986-10,16.4
1952-09,16.4
1977-05,16.4
1979-10,16.4
1985-05,16.4
1968-10,16.5
1996-10,16.6
1965-05,16.8
1961-05,16.8
1954-05,16.8
1990-10,16.9
1973-05,16.9
2013-10,17.0
1966-05,17.0
1974-05,17.0
1949-10,17.0
1969-05,17.1
1949-05,17.1
1989-10,17.1
1978-10,17.1
1971-10,17.2
1978-05,17.2
1950-05,17.2
1972-09,17.3
2002-05,17.3
1980-05,17.3
2010-05,17.3
1958-05,17.3
1986-09,17.4
1977-06,17.4
1965-09,17.4
1993-09,17.5
1974-09,17.5
1972-06,17.5
2014-10,17.6
1957-09,17.6
2001-10,17.6
2015-05,17.6
1950-09,17.6
2005-05,17.7
1994-09,17.8
1971-06,17.8
2005-10,17.8
1962-09,17.8
1991-06,17.8
2006-10,17.8
1959-10,17.8
2007-05,17.9
1988-05,18.0
1954-09,18.0
1963-09,18.0
2014-05,18.0
2006-05,18.0
1977-09,18.0
1982-05,18.0
2000-05,18.0
1993-05,18.0
2001-09,18.1
1971-05,18.1
2011-10,18.1
1948-05,18.1
1969-10,18.2
2012-05,18.2
2003-05,18.2
2004-05,18.2
1995-10,18.3
1960-05,18.4
2008-09,18.5
1981-06,18.5
1956-06,18.5
1967-09,18.5
1960-09,18.5
1985-06,18.5
1984-09,18.6
1954-06,18.6
1987-06,18.6
2015-09,18.6
1959-05,18.7
1953-05,18.7
1997-05,18.7
1956-08,18.8
2001-05,18.8
1968-09,18.8
1988-09,18.8
2007-04,18.9
1992-09,18.9
1976-09,19.0
1979-06,19.0
2016-05,19.0
1995-05,19.0
1948-06,19.1
1999-05,19.1
1956-05,19.1
2009-05,19.1
1956-09,19.2
1954-07,19.2
1996-09,19.2
1970-05,19.2
1951-09,19.2
1995-09,19.2
1964-06,19.3
1965-07,19.3
1976-05,19.3
1983-09,19.3
1987-09,19.3
2010-09,19.4
2011-05,19.4
1958-06,19.4
2012-06,19.4
1990-06,19.5
1975-09,19.5
1953-09,19.5
1966-09,19.6
1969-09,19.6
1979-09,19.6
1948-09,19.6
1998-05,19.6
